question,context
What is the name of the migratory pathways of naive and memory T,": Little is known about different phases of T-cell maturation in gut mucosa. Based on current knowledge about the migratory pathways of naive and memory T cells, it is believed that access to peripheral, nonlymphoid tissues is restricted to memory T cells. Surprisingly, there is increasing evidence of high numbers of naive T cells in the chronically inflamed gut tissue of patients with inflammatory bowel disease. This could partially be explained by new formation of ectopic lymphoid organs. Ongoing recruitment of naive T cells at inflammatory sites might play a role in the immunopathogenesis of inflammatory bowel disease."
How many patients were eligible for follow-up?,"The Simvastatin and Ezetimibe in Aortic Stenosis (SEAS) clinical trial, including 1,873 patients found an increased risk for cancer with lipid-lowering therapy with ezetimibe/simvastatin 10/40 mg/day, relative to placebo. In a registry-based follow-up study over 21 months from the conclusion of the SEAS trial, new incident cancer and total mortality were investigated in the SEAS study cohort from Denmark, Finland, Norway, Sweden, and the United Kingdom. Among 1,359 subjects eligible for follow-up (73% of the original total cohort), 1,194 had no history of cancer (primary follow-up cohort). New cancers and deaths were identified in the national cancer and mortality registries and classified by an Expert Review Committee. Data were analyzed using Cox proportional-hazards models of new cancers and mortality during follow-up according to treatment group assigned in the SEAS base study and with age, gender, smoking history, and previous cancers as covariates. The primary follow-up cohort had 12 patients with new cancers in the ezetimibe/simvastatin group and 22 in the placebo group (hazard ratio 0.55, 95% confidence interval 0.27 to 1.11), indicating no significant difference between the treatment groups. During follow-up, 43 patients assigned to ezetimibe/simvastatin and 33 assigned to placebo died (hazard ratio 1.29, 95% confidence interval 0.82 to 2.03). In conclusion, in this registry-based observational follow-up study of the original SEAS study patient population, treatment with ezetimibe/simvastatin was not associated with an increased risk for cancer or mortality in the 21-month period after the completion of the original SEAS study."
"Pallidifloside D, a saponin glycoside constituent from smila","Pallidifloside D, a saponin glycoside constituent from smilax riparia, resist to hyperuricemia based on URAT1 and GLUT9 in hyperuricemic mice."
What is the sigE gene that is dispensable for replication in human pneumocyte,"SigE represents one of the best characterized alternative sigma factors of Mycobacterium tuberculosis, playing a major role in the response to several environmental stresses and essential for growth in macrophages and virulence. In previous work we demonstrated that a mutant of M. tuberculosis in which the sigE gene was disrupted by a cassette conferring hygromycin resistance is a promising vaccine candidate conferring better protection than Mycobacterium bovis BCG in a mouse model of infection. In this work we describe the construction of a new unmarked mutant in which the entire sigE gene was disrupted in order to fulfill the requirements of the Geneva consensus to enter clinical trials. After showing that the phenotype of this mutant is superimposable to that of the previous one, we further characterized the role of SigE in the M tuberculosis intracellular behavior showing that it is dispensable for replication in human pneumocytes, while it is essential for the arrest of phagosome maturation in THP-1-derived macrophages."
What is critical to the Protective Immune Response during Chemically Induced Squam,Inflammasome Activation Is Critical to the Protective Immune Response during Chemically Induced Squamous Cell Carcinoma.
What is the key cost driver of Oncology Inpatient Treatment?,Radiation Therapy Remains The Key Cost Driver Of Oncology Inpatient Treatment.
What causes the increase in Muscle Sympathetic Nerve Activity?,"Prenatal Hypoxia Leads to Increased Muscle Sympathetic Nerve Activity, Sympathetic Hyperinnervation, Premature Blunting of Neuropeptide Y Signaling, and Hypertension in Adult Life."
What is the stigma in rural Uganda?,Persistent HIV-related stigma in rural Uganda during a period of increasing HIV incidence despite treatment expansion.
What is the standard treatment for managing food allergies?,"Allergen avoidance is the standard treatment for managing food allergies. Complete avoidance is difficult, and accidental exposure often occurs. Immunotherapy is a significant focus for treating food allergies, and oral immunotherapy (OIT) appears to be particularly effective in inducing desensitization. The majority of patients who receive OIT show increased threshold doses of their food allergen. The efficacy of OIT is different among food antigen, and milk OIT is relatively difficult to achieve tolerance. OIT may induce mild to moderate symptoms during the therapy, widespread acceptance of OIT for long-term therapy is unclear. Recently, novel immunotherapies for food allergies, such as sublingual immunotherapy (SLIT), and epicutaneous immunotherapy (EPIT) and using an anti-IgE monoclonal antibody (omalizumab), have been assessed. In addition, a combination of OIT with omalizumab, which was found to increase the threshold doses of the offending foods without producing adverse reactions, may be effective and useful in the treatment of food allergies. These treatments have been used only in research settings; further studies in large numbers of patients are needed to demonstrate their long-term safety and benefits in clinical practice."
What is the Extent of Community Versus Hospital-associated Transmission in an Endemic Setting?,Genome Sequencing of an Extended Series of NDM-Klebsiella pneumoniae Neonatal Infections in a Nepali Hospital Characterizes the Extent of Community Versus Hospital-associated Transmission in an Endemic Setting.
What is the main cause of CRT?,"Chemoradiotherapy (CRT) represents a standard treatment for many human cancers, frequently combined with radical surgical resection. However, a considerable percentage of primary cancers are at least partially resistant to CRT, which represents a substantial clinical problem, because it exposes cancer patients to the potential side effects of both irradiation and chemotherapy. It is therefore exceedingly important to determine the molecular characteristics underlying CRT-resistance and to identify novel molecular targets that can be manipulated to re-sensitize resistant tumors to CRT. In this review, we highlight much of the recent evidence suggesting that the signal transducer and activator of transcription 3 (STAT3) plays a prominent role in mediating CRT-resistance, and we outline why inhibition of STAT3 holds great promise for future multimodal treatment concepts in oncology."
What is the biotechnologically relevant polyamide family?,"Features of the biotechnologically relevant polyamide family ""cyanophycins"" and their biosynthesis in prokaryotes and eukaryotes."
What was the increase in MIC50 of imipenem-resistant isolates?,"A total of 925 Acinetobacter spp. isolates were collected from routine clinical samples of patients admitted to the university hospital of Buenos Aires city during the period 2004-2012. From this collection, 129 isolates identified as Acinetobacter baumannii were selected for molecular studies. Minimal inhibitory concentrations (MICs) of antimicrobials were determined by agar dilution method. Colistin (COL) heteroresistance was investigated by means of population analysis studies. PCR-based methods were used for epidemiological analysis and for the screening of carbapenemases and the blatetB gene. We have observed a steady rise in the MIC50 of imipenem (IMI)-resistant isolates and an increment in the presence of blaOXA-23-like gene (74-100%) as well. A rapid increasing rate of minocycline (MIN) resistance and a rise of the MIC50 of the resistant isolates have been detected since the year 2008. All isolates harboured the tet (B) gene. An increase in the value of the tigecycline (TIG) MIC was seen from the year 2007 onwards. This loss of activity was observed among different clones. A rise of COL heteroresistance from 46.4% in 2004 to 95% in 2012 was detected. During this period, COL consumption also increased (11.1-fold). However, COL resistance remained sporadic."
What is the name of the patient with disorder of Sex Development?,Unbiased Identification of Patients with Disorders of Sex Development.
What is the most significant correlation between proteinuria and foot process effacement?,"Abstract Background: Proteinuria is an uncommon clinical manifestation of IgA nephropathy and is usually seen in cases with severe lesions like endocapillary proliferation. However, it is occasionally seen even with cases with mild glomerular manifestations and may even be of nephrotic range. Predictor: Podocyte foot process effacement. Outcome: Severity of proteinuria. Measurements: Podocyte foot process effacement was measured. Morphometric analysis was performed on transmission electron microscope images using a computerized digital photomicrograph system (BioWizard 4.2 Image analysis software, New Delhi, India). Proteinuria was measured quantitatively assigned into five grades. Results: It was found that as the extent of proteinuria increased, the effacement ratio also increased, and this was most significant between ""no"" proteinuria and the rest of the categories. Conclusion: Nephrotic presentation in IgA nephropathy is a known phenomenon and in certain cases may show near normal glomerular morphology with severe foot process effacement on EM being the only significant finding to explain the proteinuria. Proteinuria in these cases shows a significant correlation with degree of foot process effacement. Renal biopsy is important in these cases because they are known to have a better prognosis and are usually steroid responsive."
What is the effect of golden-angle KWIC with generalized kinetic model analysis on,Simulation study of the effect of golden-angle KWIC with generalized kinetic model analysis on diagnostic accuracy for lesion discrimination.
What is the most common intramedullary tumor in the spinal cord?,"In adolescents and young adults, ependymomas are the most common intramedullary tumors in the spinal cord.These tumors arise from ependymal cell lining the ventricles and spinal canal. The clinical presentation of intramedullary ependymomas are variable and nonspecific. They usually present with diffuse back or neck pain as a chief complaint. Upper and lower motor neuron deficits, numbness which typically progresses from distal to proximal, are other common symptoms. Gross total resection of ependymomas can achieve long-term tumor control with preservation of function. Here we present a 29-year old man who presented with progressive weakness of the left leg, bowel and bladder incontinence. During surgery, somatosensory evoked potentials (SSEPs) and motor evoked potentials (MEPs) were used and we achieved gross total resection while preserving the spinal cord. The patient made excellent recovery and all of his preoperative deficitis improved completely. He returned to work on postoperative 2-month."
What is the common cause of healthcare-associated infections?,"Pseudomonas aeruginosa is a common cause of healthcare-associated infections including pneumonia, bloodstream, urinary tract, and surgical site infections. The clinical outcome of P. aeruginosa infections may be extremely variable among individuals at risk and patients affected by cystic fibrosis. However, risk factors for P. aeruginosa infection remain largely unknown. To identify and track the host factors influencing P. aeruginosa lung infections, inbred immunocompetent mouse strains were screened in a pneumonia model system. A/J, BALB/cJ, BALB/cAnNCrl, BALB/cByJ, C3H/HeOuJ, C57BL/6J, C57BL/6NCrl, DBA/2J, and 129S2/SvPasCRL mice were infected with P. aeruginosa clinical strain and monitored for body weight and mortality up to seven days. The most deviant survival phenotypes were observed for A/J, 129S2/SvPasCRL and DBA/2J showing high susceptibility while BALB/cAnNCrl and C3H/HeOuJ showing more resistance to P. aeruginosa infection. Next, one of the most susceptible and resistant mouse strains were characterized for their deviant clinical and immunological phenotype by scoring bacterial count, cell-mediated immunity, cytokines and chemokines profile and lung pathology in an early time course. Susceptible A/J mice showed significantly higher bacterial burden, higher cytokines and chemokines levels but lower leukocyte recruitment, particularly neutrophils, when compared to C3H/HeOuJ resistant mice. Pathologic scores showed lower inflammatory severity, reduced intraluminal and interstitial inflammation extent, bronchial and parenchymal involvement and diminished alveolar damage in the lungs of A/J when compared to C3H/HeOuJ. Our findings indicate that during an early phase of infection a prompt inflammatory response in the airways set the conditions for a non-permissive environment to P. aeruginosa replication and lock the spread to other organs. Host gene(s) may have a role in the reduction of cell-mediated immunity playing a critical role in the control of P. aeruginosa infection. These results now provide a basis for mapping genomic regions underlying host susceptibility to P. aeruginosa infection."
What is the main application for the SALDI-MS?,"Surface-assisted laser desorption/ionization mass spectrometry (SALDI-MS) is ideally suited for the high-throughput analysis of small molecules in bodily fluids (e.g. saliva, urine, and blood plasma). A key application for this technique is the testing of drug consumption in the context of workplace, roadside, athlete sports and anti-addictive drug compliance. Here, we show that vertically-aligned ordered silicon nanopillar (SiNP) arrays fabricated using nanosphere lithography followed by metal-assisted chemical etching (MACE) are suitable substrates for the SALDI-MS detection of methadone and small peptides. Porosity, length and diameter are fabrication parameters that we have explored here in order to optimize analytical performance. We demonstrate the quantitative analysis of methadone in MilliQ water down to 32 ng mL-1. Finally, the capability of SiNP arrays to facilitate the detection of methadone in clinical samples is also demonstrated."
What is the genetic deficiency of the lysosomal enzyme alpha,"Patients with mucopolysaccharidosis type I (MPS I), a genetic deficiency of the lysosomal enzyme alpha-l-iduronidase (IDUA), exhibit accumulation of glycosaminoglycans in tissues, with resulting diverse clinical manifestations including neurological, ocular, skeletal, and cardiac disease. MPS I is currently treated with hematopoietic stem cell transplantation or weekly enzyme infusions, but these therapies have significant drawbacks for patient safety and quality of life and do not effectively address some of the most critical clinical sequelae, such as life-threatening cardiac valve involvement. Using the naturally occurring feline model of MPS I, we tested liver-directed gene therapy as a means of achieving long-term systemic IDUA reconstitution. We treated four MPS I cats at 3-5 mo of age with an adeno-associated virus serotype 8 vector expressing feline IDUA from a liver-specific promoter. We observed sustained serum enzyme activity for 6 mo at approximately 30% of normal levels in one animal, and in excess of normal levels in three animals. Remarkably, treated animals not only demonstrated reductions in glycosaminoglycan storage in most tissues, but most also exhibited complete resolution of aortic valve lesions, an effect that has not been previously observed in this animal model or in MPS I patients treated with current therapies. These data point to clinically meaningful benefits of the robust enzyme expression achieved with hepatic gene transfer that extend beyond the economic and quality of life advantages over lifelong enzyme infusions."
What is the most common coping strategy for AD caregivers?,"Focusing on the understudied, increasing population of male Alzheimer's disease (AD) caregivers, the purpose of this study was to identify their likelihood of utilizing 3 coping strategies (task focused, emotion focused, and avoidance focused) and to examine the effects of each coping strategy on caregiving burden. Data were collected from 138 male AD caregivers in southern United States, including geographically proportional representation of African Americans in the sample. Stepwise regression revealed effects of each coping strategy on caregiving burden, controlling for demographics. The sample reported high burden. Task focused was the highest reported coping strategy. Yet, regression models indicated no significant effect of task-focused coping on burden outcomes. Emotion-focused and avoidance-focused coping each showed significant proportional effects on burden. Implications suggest that emotion- and avoidance-focused coping among male AD caregivers may be maladaptive, that is, reinforcing burden. Male AD caregivers may benefit from more task-focused coping, such as planning and active problem solving."
What is the goal-directed learning and obsessive-compulsive disorder,Goal-directed learning and obsessive-compulsive disorder.
What is the name of the group that recommends a colectomy in presence of high risk,"BACKGROUND AND AIMS: The National Comprehensive Cancer Network (NCCN) recommends a colectomy in presence of high risk T1 colon polyps considering the risk of incomplete lymph node dissection or presence of residual disease. We evaluated the outcomes of segmental versus standard colon resection for high risk T1 colon cancers, in order to demonstrate if segmental colectomy (SegCR) allows same short-term and oncological results compared to standard radical colectomy (StaCR). METHODS. A matched case-control study on patients who had undergone segmental versus standard colon resection was performed. One-hundred and two patients with high risk T1 colon cancer after endoscopic polypectomy, divided in 2 homogeneous groups of 51 cases, were analyzed and intra-operative, post-operative and oncological data were compared. RESULTS. Segmental colectomy allowed less operative time and intra-operative blood loss compared to StaCR (p < 0.001). Hospital stay after SegCR was shorter compared to StaCR (p < 0.001). No differences were found in terms of overall morbidity and mortality rates. Five-year actuarial overall, disease-free and disease-specific survival after StaCR were similar to SegCR (87%, 96% and 95% vs. 88%, 97% and 94%, respectively, p = 0.51, p=0.33, p=0.78). CONCLUSIONS. According to our findings, SegCR can be a valid alternative to StaCR for high risk T1 colon polyps. Segmental colectomy allows better peri-operative outcomes compared to StaCR ensuring the same oncological long-term outcomes."
How many controls were surveyed?,"OBJECTIVES/HYPOTHESIS: The association between extraesophageal reflux (EER) and symptoms of gastroesophageal reflux disease (GERD) is inadequately understood. We used the Comprehensive Reflux Symptom Scale (CReSS) to evaluate EER and reflux-symptom prevalence in gastroenterology and otolaryngology outpatients and symptom awareness among UK gastroenterologists. STUDY DESIGN: Cross-sectional cohort survey. METHODS: Six hundred thirty-nine participants were surveyed: 103 controls, 359 patients undergoing esophagogastroduodenoscopy (EGD), and 177 otolaryngology clinic patients with throat symptoms. Participants completed the CReSS questionnaire. The study was undertaken in the Endoscopy Unit and the Department of Otolaryngology-Head and Neck Surgery, Newcastle upon Tyne Hospitals, Newcastle-upon-Tyne, United Kingdom. Registered members of the British Gastroenterology Society were asked to rate how frequently reflux patients might complain of each CReSS item. RESULTS: The median CReSS total in volunteers (4) was significantly lower (P < .002) than in ear, nose, and throat (ENT) patients (26) or EGD patients with (42) or without (32) esophageal inflammation. All items were scored as >/=1 by >15% of ENT patients and 28% of EGD patients. Three major, robust CReSS factors: esophageal, pharyngeal, and upper airway emerged. Of 259 gastroenterologists, >20% scored 8 of the 34 symptoms as never being reported by reflux patients. CONCLUSIONS: Endorsement of each EER CReSS item by 28% to 58% of patients with endoscopic evidence of GERD supports the Montreal consensus on an EER-GERD continuum. Gastroenterologists vary considerably in their appreciation of EER symptom relevance. The advantages of CReSS include standardized, comprehensive capture of patient experience; discriminant validity of ENT and GERD patients from volunteers; and discrete esophageal, pharyngeal, and upper airway subscales. LEVEL OF EVIDENCE: 4 Laryngoscope, 2014."
What is the purpose of the study?,"Background:In acute encephalopathy, deterioration of the condition can be rapid and early intervention is essential to prevent progression of the disease. However, in the acute period, differentiating acute encephalopathy from febrile seizures is difficult. Thus, an early diagnostic marker has been sought to enable early intervention. Proton nuclear magnetic resonance (1H NMR) spectroscopy is used to study the chemical characteristics of biological fluids such as cerebrospinal fluid (CSF). The purpose of this study was to ascertain if pattern recognition of 1H NMR spectra could differentiate CSF obtained from patients with acute encephalopathy and febrile seizures.Methods:CSF was obtained from patients with acute encephalopathy (n = 4), complex febrile seizures (n = 9) and simple febrile seizures (n = 9).Results:NMR spectra of CSF did not visually differ across the three groups. Spectral data were analyzed by partial least squares discriminant analysis and visualized by plotting the partial least squares scores of each sample. The three patient groups clustered separately on the plots.Conclusion:In this preliminary study, we were able to visualize different characteristics of CSF obtained from patients with acute encephalopathy and simple and complex febrile seizures using pattern recognition analysis of 1H NMR data.Pediatric Research (2014); doi:10.1038/pr.2014.141."
What was the pathogenetic role of VEGF in long-term retinal and kidney,"The pathogenetic role of vascular endothelial growth factor (VEGF) in long-term retinal and kidney complications of diabetes has been demonstrated. Conversely, little is known in diabetic neuropathy. We examined the modulation of VEGF pathway at mRNA and protein level on dorsal root ganglion (DRG) neurons and Schwann cells (SC) induced by hyperglycaemia. Moreover, we studied the effects of VEGF neutralization on hyperglycemic DRG neurons and streptozotocin-induced diabetic neuropathy. Our findings demonstrated that DRG neurons were not affected by the direct exposition to hyperglycaemia, whereas showed an impairment of neurite outgrowth ability when exposed to the medium of SC cultured in hyperglycaemia. This was mediated by an altered regulation of VEGF and FLT-1 receptors. Hyperglycaemia increased VEGF and FLT-1 mRNA without changing their intracellular protein levels in DRG neurons, decreased intracellular and secreted protein levels without changing mRNA level in SC, while reduced the expression of the soluble receptor sFLT-1 both in DRG neurons and SC. Bevacizumab, a molecule that inhibits VEGF activity preventing the interaction with its receptors, restored neurite outgrowth and normalized FLT-1 mRNA and protein levels in co-cultures. In diabetic rats, it both prevented and restored nerve conduction velocity and nociceptive thresholds. We demonstrated that hyperglycaemia early affected neurite outgrowth through the impairment of SC-derived VEGF/FLT-1 signaling and that the neutralization of SC-secreted VEGF was protective both in vitro and in vivo models of diabetic neuropathy."
What is the effect of DCI on menstrual cycle regularity in PCOS women?,"Abstract Polycystic ovary syndrome is characterized by irregular cycles, hyperandrogenism, polycystic ovary at ultrasound and insulin resistance. The effectiveness of d-chiro-inositol (DCI) treatment in improving insulin resistance in PCOS patients has been confirmed in several reports. The objective of this study was to retrospectively analyze the effect of DCI on menstrual cycle regularity in PCOS women. This was a retrospective study of patients with irregular cycles who were treated with DCI. Of all PCOS women admitted to our centre, 47 were treated with DCI and had complete medical charts. The percentage of women reporting regular menstrual cycles significantly increased with increasing duration of DCI treatment (24% and 51.6% at a mean of 6 and 15 months of treatment, respectively). Serum AMH levels and indexes of insulin resistance significantly decreased during the treatment. Low AMH levels, high HOMA index, and the presence of oligomenorrhea at the first visit were the independent predictors of obtaining regular menstrual cycle with DCI. In conclusion, the use of DCI is associated to clinical benefits for many women affected by PCOS including the improvement in insulin resistance and menstrual cycle regularity. Responders to the treatment may be identified on the basis of menstrual irregularity and hormonal or metabolic markers."
What was the result of a combination of BAX and CDKN1A polymorph,BAX and CDKN1A polymorphisms correlated with clinical outcomes of gastric cancer patients treated with postoperative chemotherapy.
What is the lowest limit of quantification of the anti-PT assay?,"Infants under 6 months of age are at greatest risk of mortality and severe morbidity from pertussis disease. Interventions that increase pertussis protection in newborns are therefore a clear public health imperative. The objective of this study was to assess maternal pertussis toxin antibody (anti-PT) level as a potential source of mother-to-child transfer of pertussis-associated antibodies that may reduce neonatal risk of pertussis disease. Anti-PT level was assessed in a 2013 cohort of pregnant women from two regions in two Canadian provinces, British Columbia and Nova Scotia. Basic demographics, health, and pertussis immunization history were collected, along with blood specimens. Anti-PT levels were compared for self-reported vaccination status and prior pertussis disease. To assess secular trend, a parallel analysis was also undertaken, using anonymized residual sera from a 1996-1997 cohort of pregnant women in British Columbia. A total of 169 pregnant women participated in the prospective study - 50 from Nova Scotia and 119 from British Columbia. The mean and median age of participants from both sites was 31 years of age (range 16-42 years). The lower limit of quantification of the anti-PT assay was 10 ELISA units per milliliter (EU/ml). Overall, 59% of women had anti-PT levels less than 10EU/ml and anti-PT level did not differ with time since last self-reported pertussis vaccination (chi2(2)=3.166, p=0.205). Among a 1996-1997 cohort of pregnant women in British Columbia, 51% had anti-PT levels less than 10EU/ml. Our study found that most pregnant women in two geographically disparate health regions in Canada have low residual anti-PT levels, may be vulnerable to pertussis infection themselves, and would unlikely be a source of passive ante- or postnatal transfer of anti-PT to their newborn."
What is the goal of the design of sensor visualizations?,"BACKGROUND: Smart home sensor systems provide a valuable opportunity to continuously and unobtrusively monitor older adult wellness. However, the density of sensor data can be challenging to visualize, especially for an older adult consumer with distinct user needs. OBJECTIVE: We describe the design of sensor visualizations informed by interviews with older adults. The goal of the visualizations is to present sensor activity data to an older adult consumer audience that supports both longitudinal detection of trends and on-demand display of activity details for any chosen day. METHODS: The design process is grounded through participatory design with older adult interviews during a six-month pilot sensor study. Through a secondary analysis of interviews, we identified the visualization needs of older adults. We incorporated these needs with cognitive perceptual visualization guidelines and the emotional design principles of Norman to develop sensor visualizations. RESULTS: We present a design of sensor visualization that integrate both temporal and spatial components of information. The visualization supports longitudinal detection of trends while allowing the viewer to view activity within a specific date. CONCLUSIONS: Appropriately designed visualizations for older adults not only provide insight into health and wellness, but also are a valuable resource to promote engagement within care."
What is the CXCL12 G801A polymorphism associated with?,The CXCL12 G801A Polymorphism Is Associated with Cancer Risk: A Meta-Analysis.
What is an evidence-based method for examining and reporting cognitive processes in nutrition research?,An evidence-based method for examining and reporting cognitive processes in nutrition research.
What is the basis for a motor assessment?,Qualitative motor assessment allows to predict the degree of motor disturbances.
What is the purpose of Personalizing Behavioral Interventions Through Single-Patient (N,Personalizing Behavioral Interventions Through Single-Patient (N-of-1) Trials.
What was the most common type of hospital in Iran?,"OBJECTIVE: To examine the extent of implementation for patient safety (PS) and patient-centeredness (PC) strategies and their association with hospital characteristics (type, ownership, teaching status, annual evaluation grade) in Iran. METHODS: A cross-sectional study through an adapted version of the MARQuIS questionnaire, eliciting information from hospital and nursing managers in 84 Iranian hospitals on the implementation of PS and PC strategies in 2009-2010. RESULTS: The majority of hospitals reported to have implemented 84% of the PS and 72% of the PC strategies. In general, implementation of PS strategies was unrelated to the type of hospital, with the exception of health promotion reports, which were more common in the Social Security Organization (SSO), and MRSA testing, which was reported more often in nonprofit hospitals. MRSA testing was also more common among teaching hospitals compared to non-teaching hospitals. The higher grade hospitals reported PS strategies significantly more frequently than lower grade hospitals. Overall, there was no significant difference in the reported implementation of PC strategies across general and specialized hospitals; except for the provision of information in different languages and recording of patient's diet which were reported significantly more often by general than specialized hospitals. Moreover, patient hotel services were more common in private compared to public hospitals. CONCLUSIONS: Despite substantial reporting of PS and PC strategies, there is still room for strengthening standard setting on safety, patient services and patient-centered information strategies in Iranian hospitals. To assure effective implementation of PS and PC strategies, enforcing standards, creating a PS and PC culture, increasing organizational responsiveness, and partnering with patients and their families need more attention."
What is the effect of PXR's 3'-UTR?,A Functional Polymorphism in the 3'-UTR of PXR Interacts with Smoking to Increase Lung Cancer Risk in Southern and Eastern Chinese Smoker.
What is the anticancer drug undergoing clinical development in NSCLC?,"Picropodophyllin (PPP) is an anticancer drug undergoing clinical development in NSCLC. PPP has been shown to suppress IGF-1R signaling and to induce a G2/M cell cycle phase arrest but the exact mechanisms remain to be elucidated. The present study identified an IGF-1-independent mechanism of PPP leading to pro-metaphase arrest. The mitotic block was induced in human cancer cell lines and in an A549 xenograft mouse but did not occur in normal hepatocytes/mouse tissues. Cell cycle arrest by PPP occurred in vitro and in vivo accompanied by prominent CDK1 activation, and was IGF-1R-independent since it occurred also in IGF-1R-depleted and null cells. The tumor cells were not arrested in G2/M but in mitosis. Centrosome separation was prevented during mitotic entry, resulting in a monopolar mitotic spindle with subsequent prometaphase-arrest, independent of Plk1/Aurora A or Eg5, and leading to cell features of mitotic catastrophe. PPP also increased soluble tubulin and decreased spindle-associated tubulin within minutes, indicating that it interfered with microtubule dynamics. These results provide a novel IGF-1R-independent mechanism of antitumor effects of PPP."
What is the effect of calcium channel blockers and beta-blockers on blood pressure variability in,"OBJECTIVE: Blood pressure variation is one of the factors that affects the risk of stroke recurrence and prognosis. This study investigates the effects of calcium channel blockers and beta-blockers on blood pressure variability in severe ischemic stroke patients. PATIENTS AND METHODS: The clinical data of 24 patients with ischemic stroke in our intensive care unit were analyzed, and received amlodipine or metoprolol for more than 14 days with 24-hour ambulatory blood pressure monitoring. All patients aged 61-90 years, with GCS score </= 8 or associated with other organ dysfunction. RESULTS: Among these 24 ischemic stroke patients, 12 received amlodipine and 12 received metoprolol. The observation period was divided into two phases: 1-6 days and 7-14 days. The decrease in blood pressure was faster in the metoprolol group than in the amlodipine group, while the average standard deviation was significantly greater and the smoothness index was less. CONCLUSIONS: Metoprolol has faster onset than amlodipine and less blood pressure variability than metoprolol."
What is the leader protease from?,"The leader protease (Lpro) from foot-and-mouth disease virus (FMDV) has the ability to cleave eIF4G, leading to a blockade of cellular protein synthesis. In contrast to previous reports, our present findings demonstrate that FMDV Lpro is able to increase translation driven by FMDV IRES. Additionally, inactivation of eIF2 subsequent to phosphorylation induced by arsenite or thapsigargin in BHK cells blocks protein synthesis directed by FMDV IRES, whereas in the presence of Lpro, significant translation is found under these conditions. This phenomenon was also observed in cell-free systems after induction of eIF2 phosphorylation by addition of poly(I:C)."
What is the framework of translational ethics?,Translational ethics: an analytical framework of translational movements between theory and practice and a sketch of a comprehensive approach.
What is the role of Cytokine Responses during Influenza Virus Pathogenesis,The Role of Cytokine Responses During Influenza Virus Pathogenesis and Potential Therapeutic Options.
What is green tea known to have health benefits for humans?,"Green tea is known to have various health benefits for humans. However, the effect of green tea consumption on cognitive dysfunction remains to be clinically verified. We conducted a clinical study to investigate the effects of green tea consumption on cognitive dysfunction. Twelve elderly nursing home residents with cognitive dysfunction (Mini-Mental State Examination Japanese version (MMSE-J) score: <28) participated in the study (2 men, 10 women; mean age, 88 years). The participants consumed green tea powder 2 g/day for 3 months. After three months of green tea consumption, the participants' MMSE-J scores were significantly improved (before, 15.3 +/- 7.7; after, 17.0 +/- 8.2; p = 0.03). This result suggests that green tea consumption may be effective in improving cognitive function or reducing the progression of cognitive dysfunction; however, long-term large-scale controlled studies are needed to further clarify the effect."
What is the effect of Spinal Cord Compression on Vascular Blood Flow and Perfusion,Effect of Spinal Cord Compression on Local Vascular Blood Flow and Perfusion Capacity.
What is the most common benefit of residential treatment?,"BACKGROUND: Opioid misuse and dependence rates among emerging adults have increased substantially. While office-based opioid treatments (e.g., buprenorphine/naloxone) have shown overall efficacy, discontinuation rates among emerging adults are high. Abstinence-based residential treatment may serve as a viable alternative, but has seldom been investigated in this age group. METHODS: Emerging adults attending 12-step-oriented residential treatment (N=292; 18-24 years, 74% male, 95% White) were classified into opioid dependent (OD; 25%), opioid misuse (OM; 20%), and no opiate use (NO; 55%) groups. Paired t-tests and ANOVAs tested baseline differences and whether groups differed in their during-treatment response. Longitudinal multilevel models tested whether groups differed on substance use outcomes and treatment utilization during the year following the index treatment episode. RESULTS: Despite a more severe clinical profile at baseline among OD, all groups experienced similar during-treatment increases on therapeutic targets (e.g., abstinence self-efficacy), while OD showed a greater decline in psychiatric symptoms. During follow-up relative to OM, both NO and OD had significantly greater Percent Days Abstinent, and significantly less cannabis use. OD attended significantly more outpatient treatment sessions than OM or NO; 29% of OD was completely abstinent at 12-month follow-up. CONCLUSIONS: Findings here suggest that residential treatment may be helpful for emerging adults with opioid dependence. This benefit may be less prominent, though, among non-dependent opioid misusers. Randomized trials are needed to compare more directly the relative benefits of outpatient agonist-based treatment to abstinence-based, residential care in this vulnerable age-group, and to examine the feasibility of an integrated model."
